id при поиске;Публикация;Цитируется;Ф.;И.;О.;;;год. расч.;год уточн.;Год;по теме;актуально;Организация
11;MARKOV AND NON-MARKOV PROBABILISTIC MODELS OF INTERACTING FLOWS OF ANNIHILATING PARTICLES Nazarov A., Farkhadov M., Gelenbe E. Communications in Computer and Information Science. 2016. Т. 638. С. 281-291.;0;Фархадов;М;П;Фархадов М. П.;MARKOV AND NON-MARKOV PROBABILISTIC MODELS OF INTERACTING FLOWS OF ANNIHILATING PARTICLES Nazarov A., Farkhadov M., Gelenbe E. Communications in Computer and Information Science. 2016. Т. 638. С. 281-291. ;2016    ;;2016    ;0;;Институт проблем управления
12;HOW DOES A QUEUING NETWORK REACT TO A CHANGE OF DIFFERENT FLOW CONTROL PARAMETERS? Farkhadov M., Petukhova N., Abramenkov A., Blinova O. Communications in Computer and Information Science. 2016. Т. 638. С. 73-82.;0;Фархадов;М;П;Фархадов М. П.;HOW DOES A QUEUING NETWORK REACT TO A CHANGE OF DIFFERENT FLOW CONTROL PARAMETERS? Farkhadov M., Petukhova N., Abramenkov A., Blinova O. Communications in Computer and Information Science. 2016. Т. 638. С. 73-82. ;2016    ;;2016    ;0;;Институт проблем управления
13;МАТЕМАТИЧЕСКИЕ И ПРОГРАММНЫЕ МОДЕЛИ ДЕТЕКТИРОВАНИЯ И ИДЕНТИФИКАЦИИ ДВИЖЕНИЙ ДЛЯ ЗАДАЧ РАСПОЗНАВАНИЯ С ПРИМЕНЕНИЕМ ТЕХНОЛОГИИ ИСКУССТВЕННОГО НЕЙРОННОГО КОРТЕКСА Фархадов М.П., Михайлов А.М., Петухова Н.В., Абраменков А.Н. В сборнике: Современные проблемы прикладной математики, информатики, автоматизации и управления Труды 5-го юбилейного международного научно-технического семинара. Под редакцией И.А. Соколова, В.И. Кошкина. 2015. С. 272-281.;0;Фархадов;М;П;Фархадов М. П.;МАТЕМАТИЧЕСКИЕ И ПРОГРАММНЫЕ МОДЕЛИ ДЕТЕКТИРОВАНИЯ И ИДЕНТИФИКАЦИИ ДВИЖЕНИЙ ДЛЯ ЗАДАЧ РАСПОЗНАВАНИЯ С ПРИМЕНЕНИЕМ ТЕХНОЛОГИИ ИСКУССТВЕННОГО НЕЙРОННОГО КОРТЕКСА Фархадов М.П., Михайлов А.М., Петухова Н.В., Абраменков А.Н. В сборнике: Современные проблемы прикладной математики, информатики, автоматизации и управления Труды 5-го юбилейного международного научно-технического семинара. Под редакцией И.А. Соколова, В.И. Кошкина. 2015. С. 272-281. ;2015    ;;2015    ;2;;Институт проблем управления
14;ОБ ОДНОМ ПОДХОДЕ К РЕАЛИЗАЦИИ РАСПОЗНАВАНИЯ ЖЕСТОВОГО ЯЗЫКА Фархадов М.П., Абраменков А.Н., Петухова Н.В., Васьковский С.В. В сборнике: Современные проблемы прикладной математики, информатики, автоматизации и управления Труды 5-го юбилейного международного научно-технического семинара. Под редакцией И.А. Соколова, В.И. Кошкина. 2015. С. 282-287.;0;Фархадов;М;П;Фархадов М. П.;ОБ ОДНОМ ПОДХОДЕ К РЕАЛИЗАЦИИ РАСПОЗНАВАНИЯ ЖЕСТОВОГО ЯЗЫКА Фархадов М.П., Абраменков А.Н., Петухова Н.В., Васьковский С.В. В сборнике: Современные проблемы прикладной математики, информатики, автоматизации и управления Труды 5-го юбилейного международного научно-технического семинара. Под редакцией И.А. Соколова, В.И. Кошкина. 2015. С. 282-287. ;2015    ;;2015    ;0;;Институт проблем управления
15;КОРТИКАЛЬНЫЙ КЛАССИФИКАТОР И НЕКОТОРЫЕ ВОПРОСЫ ЕГО ПРОГРАММНОЙ РЕАЛИЗАЦИИ Михайлов А.М., Абраменков А.Н., Петухова Н.В., Фархадов М.П. Автоматизация. Современные технологии. 2015. № 10. С. 24-32.;0;Фархадов;М;П;Фархадов М. П.;КОРТИКАЛЬНЫЙ КЛАССИФИКАТОР И НЕКОТОРЫЕ ВОПРОСЫ ЕГО ПРОГРАММНОЙ РЕАЛИЗАЦИИ Михайлов А.М., Абраменков А.Н., Петухова Н.В., Фархадов М.П. Автоматизация. Современные технологии. 2015. № 10. С. 24-32. ;2015    ;;2015    ;0;;Институт проблем управления
16;ИНФОРМАЦИОННАЯ СИСТЕМА С ПОДВИЖНЫМИ УЗЛАМИ СВЯЗИ Фархадов М.П., Блинова О.В., Васьковский С.В., Воронцов Ю.А. Датчики и системы. 2015. № 12 (198). С. 24-28.;1;Фархадов;М;П;Фархадов М. П.;ИНФОРМАЦИОННАЯ СИСТЕМА С ПОДВИЖНЫМИ УЗЛАМИ СВЯЗИ Фархадов М.П., Блинова О.В., Васьковский С.В., Воронцов Ю.А. Датчики и системы. 2015. № 12 (198). С. 24-28. ;2015    ;;2015    ;0;;Институт проблем управления
17;СИСТЕМА РАСПОЗНАВАНИЯ ЖЕСТОВ С ПОМОЩЬЮ КАРТ ГЛУБИН Фархадов М.П., Абраменков А.Н., Петухова Н.В., Васьковский С.В. Датчики и системы. 2015. № 7 (194). С. 30-34.;0;Фархадов;М;П;Фархадов М. П.;СИСТЕМА РАСПОЗНАВАНИЯ ЖЕСТОВ С ПОМОЩЬЮ КАРТ ГЛУБИН Фархадов М.П., Абраменков А.Н., Петухова Н.В., Васьковский С.В. Датчики и системы. 2015. № 7 (194). С. 30-34. ;2015    ;;2015    ;0;;Институт проблем управления
18;MATHEMATICAL MODEL OF A TYPE M/M/1/? QUEUING SYSTEM WITH REQUEST REJECTION: A RETAIL FACILITY CASE STUDY Stepanova N., Farkhadov M., Paul S. Communications in Computer and Information Science. 2015. Т. 564. С. 314-329.;0;Фархадов;М;П;Фархадов М. П.;MATHEMATICAL MODEL OF A TYPE M/M/1/? QUEUING SYSTEM WITH REQUEST REJECTION: A RETAIL FACILITY CASE STUDY Stepanova N., Farkhadov M., Paul S. Communications in Computer and Information Science. 2015. Т. 564. С. 314-329. ;2015    ;;2015    ;0;;Институт проблем управления
19;МНОГОУРОВНЕВЫЕ МОДЕЛИ СЕТЕВЫХ СИСТЕМ И КОМПЛЕКС ПРОГРАММ РАСЧЕТА ИХ СТАТИЧЕСКИХ И ДИНАМИЧЕСКИХ ХАРАКТЕРИСТИК Абраменков А.Н., Петухова Н.В., Фархадов М.П., Фирсов А.В., Гуревич И.М. В сборнике: XII всероссийское совещание по проблемам управления ВСПУ-2014 Институт проблем управления им. В.А. Трапезникова РАН. 2014. С. 7375-7386.;2;Фархадов;М;П;Фархадов М. П.;МНОГОУРОВНЕВЫЕ МОДЕЛИ СЕТЕВЫХ СИСТЕМ И КОМПЛЕКС ПРОГРАММ РАСЧЕТА ИХ СТАТИЧЕСКИХ И ДИНАМИЧЕСКИХ ХАРАКТЕРИСТИК Абраменков А.Н., Петухова Н.В., Фархадов М.П., Фирсов А.В., Гуревич И.М. В сборнике: XII всероссийское совещание по проблемам управления ВСПУ-2014 Институт проблем управления им. В.А. Трапезникова РАН. 2014. С. 7375-7386. ;2014    ;;2014    ;0;;Институт проблем управления
20;СОЗДАНИЕ МАТЕМАТИЧЕСКОЙ МОДЕЛИ ПРОЦЕССОВ РАСПОЗНАВАНИЯ ОБРАЗОВ В КОРЕ МОЗГА Фархадов М.П., Михайлов А.М., Петухова Н.В., Абраменков А.Н. Нейрокомпьютеры: разработка, применение. 2014. № 10. С. 64-76.;;Фархадов;М;П;Фархадов М. П.;СОЗДАНИЕ МАТЕМАТИЧЕСКОЙ МОДЕЛИ ПРОЦЕССОВ РАСПОЗНАВАНИЯ ОБРАЗОВ В КОРЕ МОЗГА Фархадов М.П., Михайлов А.М., Петухова Н.В., Абраменков А.Н. Нейрокомпьютеры: разработка, применение. 2014. № 10. С. 64-76. ;2014    ;;2014    ;0;;Институт проблем управления
21;PERFORMANCE ANALYSIS AND MONOTONE CONTROL OF A TANDEM QUEUEING SYSTEM Efrosinin D., Farhadov M., Kudubaeva S. Communications in Computer and Information Science. 2014. Т. 279 CCIS. С. 241-255.;1;Фархадов;М;П;Фархадов М. П.;PERFORMANCE ANALYSIS AND MONOTONE CONTROL OF A TANDEM QUEUEING SYSTEM Efrosinin D., Farhadov M., Kudubaeva S. Communications in Computer and Information Science. 2014. Т. 279 CCIS. С. 241-255. ;2014    ;;2014    ;0;;Институт проблем управления
22;"OPTIMAL ALLOCATION PROBLEM IN A HYBRID QUEUEING SYSTEM Efrosinin D.V., Farhadov M. В сборнике: Труды 17-ой Международной конференции ""Распределенные компьютерные и коммуникационные сети: управление, вычисление, связь"" (DCCN-13, 7-10 октября, Москва), 2013Ответственный за выпуск - Д.В.Козырев. 2013. С. 402-409.";0;Фархадов;М;П;Фархадов М. П.;"OPTIMAL ALLOCATION PROBLEM IN A HYBRID QUEUEING SYSTEM Efrosinin D.V., Farhadov M. В сборнике: Труды 17-ой Международной конференции ""Распределенные компьютерные и коммуникационные сети: управление, вычисление, связь"" (DCCN-13, 7-10 октября, Москва), 2013Ответственный за выпуск - Д.В.Козырев. 2013. С. 402-409. ";2013    ;;2013    ;0;;Институт проблем управления
23;ФУНКЦИЯ ЛИНГВИСТИЧЕСКОГО ПРОЦЕССОРА В СИСТЕМЕ АВТОМАТИЧЕСКОГО АНАЛИЗА НЕСТРУКТУРИРОВАННОЙ РЕЧЕВОЙ ИНФОРМАЦИИ Смирнов В.А., Гусев М.Н., Фархадов М.П. Автоматизация. Современные технологии. 2013. № 8. С. 20-28.;3;Фархадов;М;П;Фархадов М. П.;ФУНКЦИЯ ЛИНГВИСТИЧЕСКОГО ПРОЦЕССОРА В СИСТЕМЕ АВТОМАТИЧЕСКОГО АНАЛИЗА НЕСТРУКТУРИРОВАННОЙ РЕЧЕВОЙ ИНФОРМАЦИИ Смирнов В.А., Гусев М.Н., Фархадов М.П. Автоматизация. Современные технологии. 2013. № 8. С. 20-28. ;2013    ;;2013    ;1;;Институт проблем управления
24;COMPUTER SPEECH TECHNOLOGIES IN MODERN INFORMATION AND SERVICE SYSTEMS Petukhova N.V., Vaskovsky S.V., Farkhodov M.P. Информационно-измерительные и управляющие системы. 2013. Т. 11. № 3. С. 61-67.;5;Фархадов;М;П;Фархадов М. П.;COMPUTER SPEECH TECHNOLOGIES IN MODERN INFORMATION AND SERVICE SYSTEMS Petukhova N.V., Vaskovsky S.V., Farkhodov M.P. Информационно-измерительные и управляющие системы. 2013. Т. 11. № 3. С. 61-67. ;2013    ;;2013    ;1;;Институт проблем управления
25;АРХИТЕКТУРА И ХАРАКТЕРИСТИКИ СИСТЕМ РАСПОЗНАВАНИЯ РЕЧИ Фархадов М.П., Петухова Н.В., Васьковский С.В., Смирнов В.А. Нейрокомпьютеры: разработка, применение. 2013. № 12. С. 022-030.;5;Фархадов;М;П;Фархадов М. П.;АРХИТЕКТУРА И ХАРАКТЕРИСТИКИ СИСТЕМ РАСПОЗНАВАНИЯ РЕЧИ Фархадов М.П., Петухова Н.В., Васьковский С.В., Смирнов В.А. Нейрокомпьютеры: разработка, применение. 2013. № 12. С. 022-030. ;2013    ;;2013    ;1;;Институт проблем управления
26;УПРАВЛЕНИЕ НА ОСНОВЕ ПРОГНОЗИРУЮЩИХ МОДЕЛЕЙ В СИСТЕМАХ КАТАЛИТИЧЕСКОГО КРЕКИНГА НЕФТИ Пашаева Б.А., Фархадов М.П. Вестник Воронежского государственного технического университета. 2013. Т. 9. № 2. С. 33-36.;10;Фархадов;М;П;Фархадов М. П.;УПРАВЛЕНИЕ НА ОСНОВЕ ПРОГНОЗИРУЮЩИХ МОДЕЛЕЙ В СИСТЕМАХ КАТАЛИТИЧЕСКОГО КРЕКИНГА НЕФТИ Пашаева Б.А., Фархадов М.П. Вестник Воронежского государственного технического университета. 2013. Т. 9. № 2. С. 33-36. ;2013    ;;2013    ;0;;Институт проблем управления
27;ФУНКЦИЯ МОДУЛЯ АКУСТИЧЕСКОГО МОДЕЛИРОВАНИЯ В СИСТЕМЕ АВТОМАТИЧЕСКОГО АНАЛИЗА НЕСТРУКТУРИРОВАННОЙ РЕЧЕВОЙ ИНФОРМАЦИИ Смирнов В.А., Гусев М.Н., Фархадов М.П. Управление большими системами: сборник трудов. 2013. № 45. С. 181-205.;2;Фархадов;М;П;Фархадов М. П.;ФУНКЦИЯ МОДУЛЯ АКУСТИЧЕСКОГО МОДЕЛИРОВАНИЯ В СИСТЕМЕ АВТОМАТИЧЕСКОГО АНАЛИЗА НЕСТРУКТУРИРОВАННОЙ РЕЧЕВОЙ ИНФОРМАЦИИ Смирнов В.А., Гусев М.Н., Фархадов М.П. Управление большими системами: сборник трудов. 2013. № 45. С. 181-205. ;2013    ;;2013    ;1;;Институт проблем управления
28;РАСЧЕТ ХАРАКТЕРИСТИК СТАЦИОНАРНЫХ СЕТЕВЫХ СИСТЕМ Абраменков А.Н., Гуревич И.М., Петухова Н.В., Фархадов М.П. Динамика сложных систем - XXI век. 2013. № 2. С. 84.;1;Фархадов;М;П;Фархадов М. П.;РАСЧЕТ ХАРАКТЕРИСТИК СТАЦИОНАРНЫХ СЕТЕВЫХ СИСТЕМ Абраменков А.Н., Гуревич И.М., Петухова Н.В., Фархадов М.П. Динамика сложных систем - XXI век. 2013. № 2. С. 84. ;2013    ;;2013    ;0;;Институт проблем управления
29;РАСЧЕТ ХАРАКТЕРИСТИК СТАЦИОНАРНЫХ СЕТЕВЫХ СИСТЕМ Абраменков А.Н., Петухова Н.В., Фархадов М.П., Гуревич И.М. Динамика сложных систем - XXI век. 2013. Т. 7. № 2. С. 084-093.;0;Фархадов;М;П;Фархадов М. П.;РАСЧЕТ ХАРАКТЕРИСТИК СТАЦИОНАРНЫХ СЕТЕВЫХ СИСТЕМ Абраменков А.Н., Петухова Н.В., Фархадов М.П., Гуревич И.М. Динамика сложных систем - XXI век. 2013. Т. 7. № 2. С. 084-093. ;2013    ;;2013    ;0;;Институт проблем управления
30;РЕЧЕВЫЕ ТЕХНОЛОГИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ МАССОВОГО ОБСЛУЖИВАНИЯ Фархадов М.П. диссертация на соискание ученой степени доктора технических наук / Институт проблем управления РАН. Москва, 2012;0;Фархадов;М;П;Фархадов М. П.;РЕЧЕВЫЕ ТЕХНОЛОГИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ МАССОВОГО ОБСЛУЖИВАНИЯ Фархадов М.П. диссертация на соискание ученой степени доктора технических наук / Институт проблем управления РАН. Москва, 2012 ;    2012;;    2012;1;;Институт проблем управления
31;РЕЧЕВЫЕ ТЕХНОЛОГИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ МАССОВОГО ОБСЛУЖИВАНИЯ Фархадов М.П. автореферат диссертации на соискание ученой степени доктора технических наук / Институт проблем управления им. В.А. Трапезникова Российской академии наук. Москва, 2012;0;Фархадов;М;П;Фархадов М. П.;РЕЧЕВЫЕ ТЕХНОЛОГИИ В АВТОМАТИЗИРОВАННЫХ СИСТЕМАХ МАССОВОГО ОБСЛУЖИВАНИЯ Фархадов М.П. автореферат диссертации на соискание ученой степени доктора технических наук / Институт проблем управления им. В.А. Трапезникова Российской академии наук. Москва, 2012 ;    2012;;    2012;1;;Институт проблем управления
32;РУССКИЙ ЖЕСТОВЫЙ ЯЗЫК: БАНК ЖЕСТОВ РЖЯ В ПИСЬМЕННОЙ ФОРМЕ Мясоедова М.А., Мясоедова З.П., Петухова Н.В., Фархадов М.П. В сборнике: Шестой междисциплинарный семинар «Анализ разговорной русской речи» (АР3 - 2012)составитель: А.Л. Ронжин. 2012. С. 57-62.;1;Фархадов;М;П;Фархадов М. П.;РУССКИЙ ЖЕСТОВЫЙ ЯЗЫК: БАНК ЖЕСТОВ РЖЯ В ПИСЬМЕННОЙ ФОРМЕ Мясоедова М.А., Мясоедова З.П., Петухова Н.В., Фархадов М.П. В сборнике: Шестой междисциплинарный семинар «Анализ разговорной русской речи» (АР3 - 2012)составитель: А.Л. Ронжин. 2012. С. 57-62. ;2012    ;;2012    ;2;;Институт проблем управления
33;"SYSTEM OF SPEECH ACCESS IN THE AZERBAIJANI LANGUAGE TO OBJECTS OF ELECTRONIC MAP Abramenkov A., Petuhova N., Farkhadov M. В сборнике: 2012 4th International Conference ""Problems of Cybernetics and Informatics"", PCI 2012 - Proceedings 2012. С. 6486263.";0;Фархадов;М;П;Фархадов М. П.;"SYSTEM OF SPEECH ACCESS IN THE AZERBAIJANI LANGUAGE TO OBJECTS OF ELECTRONIC MAP Abramenkov A., Petuhova N., Farkhadov M. В сборнике: 2012 4th International Conference ""Problems of Cybernetics and Informatics"", PCI 2012 - Proceedings 2012. С. 6486263. ";2012    2012;2012;2012;1;;Институт проблем управления
34;СЕТЕЦЕНТРИЧЕСКИЕ ТЕХНОЛОГИИ: ЭВОЛЮЦИЯ, ТЕКУЩЕЕ ПОЛОЖЕНИЕ И ОБЛАСТИ ДАЛЬНЕЙШИХ ИССЛЕДОВАНИЙ Душкин Д.Н., Фархадов М.П. Автоматизация. Современные технологии. 2012. № 1. С. 21.;6;Фархадов;М;П;Фархадов М. П.;СЕТЕЦЕНТРИЧЕСКИЕ ТЕХНОЛОГИИ: ЭВОЛЮЦИЯ, ТЕКУЩЕЕ ПОЛОЖЕНИЕ И ОБЛАСТИ ДАЛЬНЕЙШИХ ИССЛЕДОВАНИЙ Душкин Д.Н., Фархадов М.П. Автоматизация. Современные технологии. 2012. № 1. С. 21. ;2012    ;;2012    ;0;;Институт проблем управления
35;СЕТЕЦЕНТРИЧЕСКИЕ ТЕХНОЛОГИИ: ЭВОЛЮЦИЯ, ТЕКУЩЕЕ ПОЛОЖЕНИЕ И ОБЛАСТИ ДАЛЬНЕЙШИХ ИССЛЕДОВАНИЙ Фархадов М.П., Душкин Д.Н. Автоматизация. Современные технологии. 2012. № 1. С. 21-29.;3;Фархадов;М;П;Фархадов М. П.;СЕТЕЦЕНТРИЧЕСКИЕ ТЕХНОЛОГИИ: ЭВОЛЮЦИЯ, ТЕКУЩЕЕ ПОЛОЖЕНИЕ И ОБЛАСТИ ДАЛЬНЕЙШИХ ИССЛЕДОВАНИЙ Фархадов М.П., Душкин Д.Н. Автоматизация. Современные технологии. 2012. № 1. С. 21-29. ;2012    ;;2012    ;0;;Институт проблем управления
